Rk,Team,Date,xG,Cmp,TklW,Subs,Recov,Live,GCA,TotDist,SCA,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Subs,Mn/Sub,Off,PKwon,PKcon,OG,Recov,Match Report
22,Tottenham,2018-08-18,2.9,592,8,3,46,642,6,2395,39,592,,Fulham,eng Premier League,W 3-1,3,1,+2,60,3,0,0,0,2.9,2.9,+1.3,+1.3,1.8,1.7,+0.1,+0.1,-0.8,0.12,25,0.12,0.27,11,44.0,17.0,2,592,686,86.3,12,62,23,6,72,10782,3635,261,287,90.9,245,281,87.2,68,87,78.2,39,29,2,2,4,2,0,6,4,0,1,0,1,0,523,2395,1215,21,14,5,13,7,592,72,592,72,523,2395,1215,21,14,5,13,7,12,8,0,10,2,1,12,8.3,11,4,2,2,12,24,9,0,642,43,6,2,9,27,25,5,2,2,0,1,9,3,16,1,0,0,0,46,Match Report
23,Chelsea,2018-08-18,1.6,665,9,3,49,709,6,2608,43,661,,Arsenal,eng Premier League,W 3-2,3,2,+1,62,3,0,0,0,1.6,1.6,-0.7,-0.7,1.4,1.4,+1.4,+1.4,+1.6,0.07,24,0.13,0.27,11,45.8,20.4,1,665,762,87.3,19,55,9,1,48,10516,3181,361,383,94.3,234,268,87.3,47,73,64.4,43,37,0,2,2,1,1,6,5,0,1,0,0,0,472,2608,1464,29,23,7,11,11,661,48,661,48,472,2608,1464,29,23,7,11,11,16,9,5,10,1,7,12,58.3,5,9,3,6,7,23,11,0,709,50,11,4,6,15,21,5,0,1,1,3,7,3,26,3,0,0,0,49,Match Report
24,Newcastle Utd,2018-08-18,1.6,208,9,3,51,295,0,828,18,205,@,Cardiff City,eng Premier League,D 0-0,0,0,0,49,0,0,1,1,1.6,0.8,+0.7,-0.1,0.5,0.3,-1.6,-0.8,-0.5,0.07,11,0.00,0.00,5,45.5,18.1,2,208,348,59.8,5,10,4,2,14,3509,1766,108,147,73.5,67,96,69.8,25,80,31.3,18,11,2,0,1,4,0,0,0,0,0,0,0,0,167,828,357,7,3,3,21,16,205,14,205,14,167,828,357,7,3,3,21,16,12,9,6,4,2,1,9,11.1,8,15,6,9,8,20,27,1,295,53,13,0,1,11,25,5,3,2,0,0,6,3,22,0,0,0,0,51,Match Report
25,Fulham,2018-08-18,1.6,374,8,3,42,422,2,1455,19,374,@,Tottenham,eng Premier League,L 1-3,1,3,-2,40,1,0,0,0,1.6,1.6,-1.3,-1.3,1.6,1.4,-0.6,-0.6,-0.6,0.16,10,0.10,0.33,3,30.0,18.8,0,374,462,81.0,9,17,6,2,32,6463,2483,183,201,91.0,121,145,83.4,49,81,60.5,19,17,0,1,1,0,0,2,2,0,0,0,0,0,248,1455,677,18,11,5,15,11,374,32,374,32,248,1455,677,18,11,5,15,11,13,8,12,1,0,6,12,50.0,6,10,4,6,10,23,42,3,422,37,10,2,8,7,12,2,1,0,0,3,3,3,9,3,0,0,0,42,Match Report
26,Bournemouth,2018-08-18,1.3,265,9,2,42,306,4,1632,24,262,@,West Ham,eng Premier League,W 2-1,2,1,+1,39,2,0,0,0,1.3,1.3,+0.1,+0.9,1.3,1.1,+0.7,+0.7,+0.7,0.11,12,0.17,0.40,5,41.7,17.0,0,265,354,74.9,12,17,12,2,35,4328,2112,141,158,89.2,93,116,80.2,25,60,41.7,24,16,2,4,0,2,0,4,0,1,2,0,1,0,268,1632,830,24,16,4,10,11,262,34,262,34,268,1632,830,24,16,4,10,11,11,9,4,6,1,5,16,31.3,11,11,3,8,6,17,34,0,306,48,14,3,4,11,19,4,2,2,0,0,6,2,7,0,0,1,0,42,Match Report
27,Southampton,2018-08-18,1.7,215,5,3,54,297,1,1054,25,214,@,Everton,eng Premier League,L 1-2,1,2,-1,43,1,0,0,0,1.7,1.7,+0.2,+0.2,0.9,0.5,-0.7,-0.7,+0.1,0.12,15,0.07,0.25,4,26.7,15.4,1,215,353,60.9,10,16,8,1,25,4142,1933,96,127,75.6,87,121,71.9,29,88,33.0,25,14,4,0,4,2,1,1,0,0,0,1,0,0,169,1054,595,9,5,2,11,15,214,24,214,24,169,1054,595,9,5,2,11,15,11,5,6,5,0,4,12,33.3,8,12,3,9,13,24,25,0,297,53,9,0,2,16,28,5,2,2,0,3,10,3,20,3,0,0,0,54,Match Report
28,Leicester City,2018-08-18,0.2,333,16,3,54,378,2,1669,11,330,,Wolves,eng Premier League,W 2-0,2,0,+2,43,1,0,0,0,0.2,0.2,-0.9,-0.9,0.2,0.2,+0.8,+0.8,+0.8,0.04,6,0.17,0.50,2,33.3,24.0,0,333,418,79.7,4,27,5,1,31,5818,2425,153,171,89.5,125,154,81.2,39,68,57.4,11,5,0,3,1,1,1,2,2,0,0,0,0,0,320,1669,881,18,15,4,18,8,330,31,330,31,320,1669,881,18,15,4,18,8,24,16,11,11,2,10,20,50.0,10,12,2,10,13,37,38,1,378,40,9,0,5,13,17,1,1,0,0,0,6,3,16,0,0,0,0,54,Match Report
29,Arsenal,2018-08-18,2.4,379,6,3,53,419,3,1541,28,376,@,Chelsea,eng Premier League,L 2-3,2,3,-1,38,2,0,0,0,2.4,2.4,+0.7,+0.7,2.3,1.4,-0.4,-0.4,-1.3,0.16,15,0.13,0.33,6,40.0,16.9,0,379,467,81.2,13,27,9,3,38,7091,2350,146,167,87.4,169,185,91.4,51,84,60.7,28,25,0,1,1,0,1,3,2,0,0,0,0,1,301,1541,842,15,9,4,12,9,376,38,376,38,301,1541,842,15,9,4,12,9,14,6,8,5,1,3,12,25.0,9,12,6,6,12,26,23,2,419,45,14,1,3,12,17,1,0,1,0,3,6,3,28,3,0,0,0,53,Match Report
30,Cardiff City,2018-08-18,0.9,225,12,3,52,316,0,1409,21,220,,Newcastle Utd,eng Premier League,D 0-0,0,0,0,51,0,0,0,0,0.9,0.9,-0.7,+0.1,0.7,1.0,-0.9,-0.9,-0.7,0.08,12,0.00,,0,0.0,16.4,1,225,369,61.0,9,22,9,4,30,4196,1735,100,131,76.3,71,111,64.0,43,96,44.8,21,15,2,1,1,1,1,0,0,0,0,0,0,0,205,1409,721,18,14,0,8,11,220,28,220,28,205,1409,721,18,14,0,8,11,22,12,9,11,2,6,9,66.7,3,10,5,5,12,34,42,0,316,51,15,1,1,23,27,5,4,1,0,2,12,3,12,2,0,1,0,52,Match Report
31,Everton,2018-08-18,1.5,339,10,3,56,408,4,1439,23,336,,Southampton,eng Premier League,W 2-1,2,1,+1,57,2,0,0,0,1.5,1.5,-0.2,-0.2,1.5,1.4,+0.5,+0.5,+0.5,0.12,13,0.15,0.29,7,53.8,16.6,0,339,469,72.3,12,24,8,2,38,5941,2510,158,183,86.3,119,164,72.6,39,81,48.1,23,14,5,1,0,3,0,4,3,1,0,0,0,0,314,1439,775,12,10,5,13,7,336,38,336,38,314,1439,775,12,10,5,13,7,18,10,8,6,4,3,7,42.9,4,13,5,8,14,32,20,1,408,59,23,3,3,19,22,2,1,0,1,2,11,3,29,2,0,0,0,56,Match Report
